Area,Feature ID,Feature Name,User Story,Expected Behavior,Status,Source Files,Test Coverage,Test Run Status,Notes
ViewSets,VWS-006,CSV export with pagination bypass,"As an API consumer, I want to export the full queryset as CSV without pagination.","When HTTP_ACCEPT is 'text/csv', BaseModelViewSet.paginate_queryset returns None. get_renderer_context forces utf-8-sig encoding, builds header from fields_query (class attribute default None; request ?fields_query=col1,col2 overrides), and labels from serializer field labels.",Implemented + Documented,"apibase/viewsets.py, apibase/renderers.py",None,No tests,
ViewSets,VWS-007,ViewSetMixin.permissions discovery,"As a developer, I want to introspect a ViewSet to discover the Django Permission objects it requires.","ViewSetMixin.permissions() iterates permission_classes, filters for apibase.permissions.Permission subclasses with a PERM_CODE, and returns matching Django Permission queryset results (first per class).",Implemented + Documented,apibase/viewsets.py,None,No tests,
ViewSets,VWS-008,ViewSetMixin.is_safe_method,"As a developer, I want to branch logic inside a ViewSet based on whether the request is safe.",is_safe_method property returns permissions.is_safe_method(self.request).,Implemented + Documented,apibase/viewsets.py,None,No tests,
ViewSets,VWS-009,static_serve helper,"As a developer, I want a thin wrapper around Django's static serve that optionally adds Content-Disposition.","static_serve calls django.views.static.serve and, if name is given, sets Content-Disposition using utils.to_content_disposition. document_root defaults to '/'.",Implemented + Documented,apibase/viewsets.py,None,No tests,
Routers,RTR-001,DefaultRouter basename generation,"As a developer, I want a DRF router that produces predictable 'api-{app_label}-{model_name}' basenames.",DefaultRouter.get_default_basename returns 'api-{app_label}-{model_name}' when queryset is present; otherwise falls back to module/viewset name with 'viewset' stripped. Also accepts an optional root_view_name kwarg.,Implemented,apibase/routers.py,None,No tests,
Pagination,PAG-001,Pagination page-number response,"As an API consumer, I want paginated list responses that include count, page range, current page, next/previous, and results.","Pagination subclasses PageNumberPagination with page_size=16, max_page_size=200, page_size_query_param='page_size'. Response includes count, page_range, current_page, next, previous, results.",Implemented + Documented,apibase/paginations.py,None,No tests,
Renderers,REN-001,CSV / TSV / binary renderers,"As an API consumer, I want to request resources in CSV, TSV, PDF, XLSX, or ZIP formats.","CsvRenderer subclasses rest_framework_csv.CSVRenderer. BinaryRenderer returns data unchanged; PdfRenderer, XlsxRenderer, ZipballRenderer subclass it for their media types. TsvRenderer handles text/tab-separated-values. BrowsableAPIRendererWithoutForms suppresses HTML forms.",Implemented + Documented,apibase/renderers.py,None,No tests,
Renderers,REN-002,RENDERERS tuple,"As a developer, I want a convenient tuple of all apibase renderers to add to DRF settings.",RENDERERS combines api_settings.DEFAULT_RENDERER_CLASSES with the apibase custom renderers.,Implemented,apibase/renderers.py,None,No tests,
URLs,URL-001,endpoint reverse helper,"As a developer, I want to reverse a DRF action URL for a model instance or class.","endpoint(instance_or_model, action, **params) reverses 'api-{app_label}-{model_name}-{action}' (underscores in action become dashes). Adds pk kwarg automatically when the instance has a truthy id.",Implemented,apibase/urls.py,None,No tests,
URLs,URL-002,absolute_path helper,"As a developer, I want to turn a relative path into an absolute URL using the current request or site.","absolute_path(path, request=None) builds an absolute URL from request when provided; otherwise uses django.contrib.sites Site.objects.get_current() and https.",Implemented,apibase/urls.py,tests/test_identity_characterization.py,Pass,
URLs,URL-003,endpoint_url helper,"As a developer, I want a single call that reverses a model action URL and makes it absolute.",endpoint_url combines endpoint() and absolute_path().,Implemented,apibase/urls.py,None,No tests,
Requests,REQ-001,create_request factory,"As a developer writing tests or scripts, I want to build a WSGIRequest with a user and query params.","create_request(url='/', user=None, params=None, site=None) parses scheme/host/port/path/query, defaults to AnonymousUser, merges params into environ, and falls back to example.com if sites framework is unavailable.",Implemented,apibase/requests.py,None,No tests,
Storage,STO-001,LocalPathResolver upload-to resolver,"As a developer, I want deterministic storage paths based on date, ULID, content type, field name, and access prefix.","LocalPathResolver.__call__(instance, filename) returns construct_filename(..., create_path(filename, instance)). create_path builds 'YYYY-MM-DD/<ulid>.<ext>'. resolve_content_type uses ContentType.objects.get_for_model(instance) (or instance.content_type when RESOLVE_CONTNT_TYPE is True).",Implemented + Documented,apibase/storages.py,None,No tests,
Storage,STO-002,LocalPathResolver.find instance lookup,"As a developer, I want to find a model instance from a stored file path.","LocalPathResolver.find(model_class, field_name, path) looks up the field's upload-to resolver and calls find_instance, which finds the first instance whose constructed filename matches the stored file path.",Implemented + Documented,apibase/storages.py,None,No tests,
Archives,ARC-001,Zipball in-memory archive builder,"As a developer, I want to build ZIP archives in memory and output them to streams, files, or Django ContentFile.",Zipball.append adds files with ZIP_DEFLATED and create_system=0. read() returns bytes; write_to(stream) writes to a file-like object; write_to_file saves to disk; to_contentfile returns ContentFile.,Implemented + Documented,apibase/archives.py,None,No tests,
Archives,ARC-002,ModelZipball queryset JSON export,"As a developer, I want to serialize querysets to JSON files inside a ZIP archive.",ModelZipball.append_query(queryset) serializes the queryset and stores it as '{app_label}.{model_name}.json' in the archive.,Implemented + Documented,apibase/archives.py,None,No tests,
Views,VIE-001,DRFAuthenticatedGraphQLView,"As a developer, I want a GraphQL view that uses DRF authentication and permissions.","DRFAuthenticatedGraphQLView wraps graphene_django.views.GraphQLView with DRF IsAuthenticated, default auth classes, and api_view(['GET','POST']). parse_body returns request.data for DRF Requests; otherwise falls back to Graphene parsing.",Implemented + Documented,apibase/views.py,None,No tests,
Views,VIE-002,SDL schema view,"As a developer, I want an authenticated endpoint that returns the GraphQL schema as SDL.",sdl(request) returns the GraphQL schema printed as SDL with text/plain content type. Requires DRF authentication via _decorate.,Implemented + Documented,apibase/views.py,None,No tests,
Views,VIE-003,DRFGraphQLView backward-compatibility alias,"As a downstream developer with legacy imports, I want the old DRFGraphQLView name to keep working.",DRFGraphQLView is an alias for DRFAuthenticatedGraphQLView.,Implemented + Documented,apibase/views.py,None,No tests,
OpenAPI,OAS-001,Optional drf-spectacular compatibility shim,"As a developer, I want apibase modules to import and use drf-spectacular decorators even when the package is not installed, so that the library has an optional OpenAPI dependency.","When drf_spectacular is installed, re-exports extend_schema, extend_schema_field, OpenApiParameter, OpenApiTypes. When absent, provides no-op decorators and stub classes (OpenApiTypes.URI/STR = None, OpenApiParameter.PATH = 'path').",Implemented + Tested,"apibase/_spectacular.py, apibase/serializers.py, apibase/viewsets.py",tests/test_spectacular_adapter.py,Pass,
GraphQL Core,GQL-001,default_resolver patch hook,"As a developer, I want to post-process resolved field values on a per-type basis without writing explicit resolvers.","default_resolver wraps the stock graphene resolver. After lookup, if the parent type exposes patch_result(res, attname, default_value, root, info, **args), it returns the patched value.",Implemented + Tested,apibase/schema.py,tests/test_identity_characterization.py,Pass,
GraphQL Core,GQL-002,BaseSerializerMutation Relay id decoding,"As a developer, I want SerializerMutation to accept a Relay client_mutation_id and decode it into the model's primary key.",BaseSerializerMutation.get_serializer_kwargs uses from_global_id on client_mutation_id (when it is a string) and writes the decoded database id into input['id'].,Implemented,apibase/schema.py,None,No tests,Abstract Meta; concrete mutations must subclass.
GraphQL Core,GQL-003,NodeMixin field resolvers,"As a GraphQL consumer, I want Node types to expose pk, endpoint, urn, and display fields automatically.","NodeMixin provides resolve_pk, resolve_endpoint (absolute when build_absolute_uri exists), resolve_urn, resolve_display, and get_node (fetches by pk via get_queryset).",Implemented + Tested + Documented,"apibase/graphql/mixins.py, apibase/identity.py",tests/test_identity_characterization.py,Pass,
GraphQL Core,GQL-004,SummaryMixin connection aggregates,"As a GraphQL consumer, I want paginated connections to expose total_count, records count, and an optional summary payload.","SummaryMixin provides resolve_total_count (self.length), resolve_records (order_by('id').distinct().count() for querysets), and resolve_summary (calls queryset.summary() and encodes with JSONEncode).",Implemented,apibase/graphql/mixins.py,None,No tests,Untested.
GraphQL Core,GQL-005,FilteringConnection,"As a developer, I want a Relay connection class that combines connection fields with summary aggregates.",FilteringConnection subclasses graphene.relay.Connection and SummaryMixin. It is dynamically named '{prefix}{Node}NodeSetConnection' by NodeSet.,Implemented,apibase/graphql/connections.py,None,No tests,
GraphQL Fields,GQF-001,NodeSet filter connection field,"As a GraphQL consumer, I want a connection field that auto-generates filter arguments from a django-filter FilterSet and applies conditional distinct().","NodeSet extends DjangoFilterConnectionField. filtering_args uses utils.get_filtering_args_from_filterset with IntFilter as obvious filter. resolve_queryset applies .distinct() only when a filter has distinct=True or traverses M2M/reverse-FK, or the queryset itself has duplicating joins. Sets has_previous_page based on start offset.",Implemented + Tested + Documented,"apibase/graphql/fields.py, apibase/graphql/connections.py",apibase/graphql/tests/test_distinct.py,Pass,
GraphQL Fields,GQF-002,Distinct decision helpers,"As a developer, I want the library to avoid unnecessary .distinct() calls while still removing duplicates from M2M/reverse-FK filters.",_filter_needs_distinct checks filter.distinct and relation traversal. _queryset_has_duplicating_joins inspects alias_map for M2M/reverse-FK joins and conservatively returns True on error. _needs_distinct orchestrates both and only considers filters present in args.,Implemented + Tested,apibase/graphql/fields.py,apibase/graphql/tests/test_distinct.py,Pass,
GraphQL Fields,GQF-003,NodeSet name_prefix connection naming,"As a developer, I want to reuse the same node type in multiple NodeSet fields without GraphQL type-name collisions.",NodeSet accepts name_prefix kwarg; generated connection type is named '{prefix}{Type}NodeSetConnection'.,Implemented,apibase/graphql/fields.py,None,No tests,
GraphQL Encoders,GQE-001,JSONEncode Decimal support,"As a developer, I want to serialize GraphQL data to JSON with Decimal values as floats.",JSONEncode subclasses DjangoJSONEncoder and converts decimal.Decimal to float; all other types fall back to DjangoJSONEncoder.,Implemented + Documented,apibase/graphql/encoders.py,tests/test_encoders.py,Pass,
GraphQL Utils,GQU-001,strip_relay,"As a developer or test author, I want to flatten Relay edges/node wrappers from GraphQL response data.",strip_relay recursively removes edges/node wrappers. List of edges becomes list of nodes; dicts are recursively stripped when recursive=True; scalars pass through.,Implemented,apibase/graphql/utils.py,tests/test_utils.py,Pass,
GraphQL Utils,GQU-002,get_filtering_args_from_filterset,"As a developer, I want to expose django-filter FilterSet fields as Graphene arguments.",Maps filterset base_filters to graphene Arguments. Declared filters and filters in obvious_filters use the filter's own field; otherwise derives from the model field's formfield. RangeFilters emit suffixed args (_min/_max) when widget.suffixes exist.,Implemented,apibase/utils.py,None,No tests,
GraphQL Utils,GQU-003,resolve_start_offset,"As a developer, I want to compute the start offset for Relay pagination from an after cursor.","resolve_start_offset(slice_start, after) uses get_offset_with_default and returns max(slice_start - 1, after_offset, -1) + 1.",Implemented,apibase/utils.py,None,No tests,
GraphQL Utils,GQU-004,gql_query / query / query_instance helpers,"As a developer, I want convenient helpers to execute GraphQL queries in tests, scripts, or server code.",gql_query executes a query string against a schema using gql.Client. query dispatches to query_instance when instance or object_name+id are provided (encoding id as Relay global id); otherwise calls gql_query. Schema defaults to graphene_settings.SCHEMA.,Implemented + Documented,apibase/utils.py,None,No tests,
GraphQL Utils,GQU-005,to_gql_relay_id,"As a developer, I want to build Relay global IDs from type name and primary key.","to_gql_relay_id(schema_name, id) returns graphql_relay.to_global_id(schema_name, id).",Implemented,apibase/utils.py,None,No tests,
GraphQL Utils,GQU-006,to_content_disposition,"As a developer, I want RFC 6266 Content-Disposition headers that support UTF-8 filenames.",to_content_disposition(filename) returns 'attachment; filename*=utf-8''{url_quoted_filename}'.,Implemented + Documented,apibase/utils.py,tests/test_utils.py,Pass,
GraphQL Utils,GQU-007,get_filename_from_header,"As a developer, I want to parse a Content-Disposition header and extract the UTF-8 filename.",get_filename_from_header(header) searches for 'filename*...utf-8''...' and returns the unquoted value; returns None if missing or not UTF-8.,Implemented,apibase/utils.py,tests/test_utils.py,Pass,
GraphQL Templates,GQT-001,query_model_file template loader,"As a developer, I want to store GraphQL query templates per model and load them by convention.","query_model_file accepts a model class, instance, or 'app_label.model_name' string. Default template is 'query.graphql' when id/instance is present, otherwise 'query_set.graphql'. Path: '{app_label}/{model_name}/{name}.graphql'.",Implemented,apibase/graphql/models.py,None,No tests,
GraphQL Templates,GQT-002,query_model execution,"As a developer, I want to load a model's GraphQL template, execute it, and optionally strip Relay wrappers.","query_model loads the template, calls apibase.utils.query, and optionally applies strip_relay(recursive=True).",Implemented,apibase/graphql/models.py,None,No tests,
GraphQL Templates,GQT-003,query_params builder,"As a developer, I want to build a GraphQL HTTP request payload from a model template.","query_params returns {'query': template_source, 'variables': {...}}. If id is present, it is encoded as a Relay global id.",Implemented,apibase/graphql/models.py,None,No tests,
GraphQL Converters,GQC-001,ListCharField -> [String!],"As a GraphQL consumer, I want list-of-string filters to expose [String!] arguments instead of String.",Converter registered for apibase.fields.ListCharField returns graphene.List(graphene.NonNull(graphene.String)) preserving required.,Implemented + Tested,apibase/graphql/converters.py,apibase/graphql/tests/test_converters.py,Pass,
GraphQL Converters,GQC-002,ListIntegerField -> [Int!],"As a GraphQL consumer, I want list-of-integer filters to expose [Int!] arguments.",Converter registered for apibase.fields.ListIntegerField returns graphene.List(graphene.NonNull(graphene.Int)).,Implemented + Tested,apibase/graphql/converters.py,apibase/graphql/tests/test_converters.py,Pass,
GraphQL Converters,GQC-003,MonthRangeField -> String,"As a GraphQL consumer, I want month-range filters to expose a String argument.",Converter registered for apibase.fields.MonthRangeField returns graphene.String.,Implemented + Tested,apibase/graphql/converters.py,apibase/graphql/tests/test_converters.py,Pass,
GraphQL Converters,GQC-004,MultipleChoiceField -> [String!],"As a GraphQL consumer, I want django_filters MultipleChoiceField to expose [String!].",Converter registered for django_filters.fields.MultipleChoiceField returns graphene.List(graphene.NonNull(graphene.String)).,Implemented + Tested,apibase/graphql/converters.py,apibase/graphql/tests/test_converters.py,Pass,
GraphQL Converters,GQC-005,Safe import without Django settings,"As a developer using apibase in a CLI or packaging context, I want import apibase to succeed even when Django settings are not configured.",apibase/__init__.py only imports apibase.graphql when settings.configured is True; otherwise converter registration is deferred. test_importing_apibase_without_configured_django_does_not_raise verifies this.,Implemented + Tested,"apibase/__init__.py, apibase/graphql/converters.py",apibase/graphql/tests/test_converters.py,Pass,
gql.types,GTY-001,DjangoObjectType queryset_resolvers,"As a developer, I want to chain queryset transformations (prefetching, authorization) on a custom DjangoObjectType.","apibase.gql.types.DjangoObjectType subclasses graphene_django's DjangoObjectType. Its get_queryset calls resolve_queryset(queryset, info, resolvers=cls.queryset_resolvers), applying each resolver in order.",Implemented + Documented,apibase/gql/types.py,None,No tests,
gql.types,GTY-002,resolve_queryset chain helper,"As a developer, I want a helper that applies a list of (queryset, info) -> (queryset, info) functions.","resolve_queryset uses functools.reduce to apply each resolver in sequence. If resolvers is empty, returns (queryset, info) unchanged.",Implemented,apibase/gql/types.py,None,No tests,
WebSocket,WSK-001,GraphqlWsConsumer per-schema factory,"As a developer, I want to create a WebSocket GraphQL consumer for a specific schema.","GraphqlWsConsumer extends channels_graphql_ws.GraphqlWsConsumer and logs connections in on_connect. schema_consumer_class(schema, name) dynamically creates a consumer subclass with schema attribute set. create_schema_consumer is the same alias.",Implemented + Documented,apibase/consumers.py,None,No tests,
Meta API,MET-001,ModelFieldSerializer,"As a developer, I want to serialize Django model field metadata into a migration-deconstruction representation.","ModelFieldSerializer.to_representation returns {'model': {app_label, model_name}, 'field': {name, type, args, kwargs}}. args/kwargs are serialized using Django's migration serializer.",Implemented,apibase/meta/serializers.py,None,No tests,
Meta API,MET-002,ModelFieldViewSet read-only field metadata,"As an admin user, I want to list or retrieve metadata for all model fields, scoped by app or model.","ModelFieldViewSet provides list(app_label=None, model_name=None) and retrieve(app_label, model_name, field_name). Requires IsAdminUser. Uses ContentType.objects.get_by_natural_key.",Implemented,apibase/meta/viewsets.py,None,No tests,
Meta API,MET-003,CustomReadOnlyRouter URL patterns,"As a developer, I want URL patterns for the meta field API without trailing slashes.",CustomReadOnlyRouter subclasses SimpleRouter. urlpatterns exposes GET /{app_label}/{model_name}/{field_name} and list variants for all/app/model scopes.,Implemented,apibase/meta/urls.py,None,No tests,
Contrib Schema,CON-001,Auth model GraphQL types,"As a developer, I want out-of-the-box GraphQL types for User, Group, Permission, and ContentType.","apibase.contrib.schema.query defines User, Group, Permission, ContentType object types mixing NodeMixin and DjangoObjectType. User exposes permissions (via all_permissions) and excludes password. convert_choices_to_enum=False.",Implemented,apibase/contrib/schema/query.py,None,No tests,
Contrib Schema,CON-002,Auth query mixins,"As a developer, I want Relay node fields and NodeSet list fields for auth models.","UserQueryMixin, GroupQueryMixin, PermissionQueryMixin, ConteTypeQueryMixin add {model} (node field) and {model}_set (NodeSet). Query combines all mixins.",Implemented,apibase/contrib/schema/query.py,None,No tests,Class name typo: ConteTypeQueryMixin (missing 'n').
Contrib Schema,CON-003,Auth model filtersets,"As a developer, I want FilterSets for User, Group, Permission, and ContentType.","UserFilter, GroupFilter, PermissionFilter, ContentTypeFilter subclass BaseFilter. They currently exclude [''] meaning all fields are exposed.",Implemented,apibase/contrib/schema/filters.py,None,No tests,
Contrib Schema,CON-004,Default contrib schema,"As a developer, I want a ready-to-use GraphQL schema combining auth queries.","apibase.contrib.schema defines schema = graphene.Schema(query=Query, auto_camelcase=False) and exec_query(query_string, **params) as a convenience wrapper around gql_query.",Implemented,apibase/contrib/schema/__init__.py,None,No tests,
Contrib Schema,CON-005,Group/Permission import/export utilities,"As a developer, I want to export groups with their permissions to JSON and re-import them later.","export_groups runs a hard-coded GraphQL query and returns JSON. import_groups(path) reads that JSON and recreates/updates Group and Permission objects, linking by content type. Missing content types are skipped.",Implemented,apibase/contrib/schema/utils.py,None,No tests,File handle in import_groups is opened without a context manager.
Contrib Models,CNM-001,User all_permissions helper,"As a developer, I want a method that aggregates all permissions across all configured Django auth backends.",methods.all_permissions iterates backends and collects get_all_permissions results. models.User is the active user model patched with User.all_permissions = methods.User.all_permissions.,Implemented,"apibase/contrib/models/models.py, apibase/contrib/models/methods.py",None,No tests,
Test Utilities,TST-001,RestTestCase base,"As a developer, I want a base test class with DRF client, user/permission helpers, and YAML/JSON/GraphQL utilities.","RestTestCase (TransactionTestCase) provides create_client, create_user, requester, assertResponse, Y/to_yaml/to_json debug helpers, and graphql(path, **params) that loads .graphql files and runs via apibase.utils.query.",Implemented,apibase/tests/tests.py,Used by tests,Pass,
Test Utilities,TST-002,FixtureMixin factory helpers,"As a developer, I want factory classes with fixture loading, GraphQL fixture execution, and sequence reset helpers.","FixtureMixin provides fuzzychoice, get_app_label, fixture/load_fixture, graphql_query, gql(id), from_json, qs, contenttype, from_fixture, create_from_list, and reset_sequence_by_id.",Implemented,apibase/tests/factories.py,None,No tests,
Tooling,TLG-001,Documentation site (MkDocs Material),"As a user or contributor, I want a documentation site with guides, tutorials, reference, and architecture docs.",docs/ contains MkDocs Material source. mkdocs.yml configures the site. .github/workflows/docs.yml builds/deploys to GitHub Pages with mike for versioning.,Implemented,"docs/, mkdocs.yml, .github/workflows/docs.yml",None,No tests,
Tooling,TLG-002,Ruff lint/format configuration,"As a contributor, I want consistent linting and formatting rules configured in the project.","pyproject.toml configures Ruff with line-length 119, select rules E4/E7/E9/F/B/W/I/C4/UP, per-file ignores, and import sorting.",Implemented,pyproject.toml,None,No tests,
Tooling,TLG-003,pytest + pytest-django configuration,"As a contributor, I want pytest to configure Django at module-import time so that apibase converter registration works during collection.","conftest.py configures Django settings (SQLite in-memory, contenttypes, auth, tests apps, MIGRATION_MODULES={'tests': None}) before apibase/__init__.py runs.",Implemented + Tested,"conftest.py, tests/settings.py, pyproject.toml",Entire test suite,Pass,"Harness fixed 2026-06-24: wired pytest-django via [tool.pytest.ini_options] DJANGO_SETTINGS_MODULE=tests.settings plus tests/settings.py. Root cause was pytest-django/pyyaml/drf-spectacular not synced into the devenv venv; uv sync --extra dev --extra schema resolves it. Suite now 130 passed (was 67p/7f)."
